Illness,Advice,See Doctor,Explanation
Hepatitis B,Vaccination recommended; monitor liver function and consult a doctor.,monitor liver function,"A serious liver infection caused by the hepatitis B virus that can become chronic in some people and lead to liver failure, liver cancer, or cirrhosis."
Hepatitis C,Consult a doctor for treatment options and follow recommended therapy.,for treatment options,"A viral liver infection spread by contaminated blood, causing liver inflammation, sometimes leading to serious liver damage."
Hepatitis D,Immediate consultation recommended due to high mortality rate.,immediately,"Also known as delta hepatitis, occurs only in those infected with Hepatitis B, exacerbating the severity of the liver disease."
Hepatitis E,Maintain hydration and consult a doctor; vaccination recommended.,consult a doctor,"A waterborne disease primarily found in areas with poor sanitation and typically results in a mild, acute infection that resolves itself."
Alcoholic Hepatitis,"Avoid alcohol, manage diet, and consult a doctor regularly.",regularly,"Inflammation of the liver caused by excessive alcohol consumption, can lead to liver failure and other serious complications."
Tuberculosis,Follow anti-TB therapy strictly under supervision.,under supervision,"A potentially serious infectious bacterial disease that mainly affects the lungs, but can spread to other organs."
Common Cold,"Rest, stay hydrated, and use symptomatic treatments.",if symptoms persist,"A viral infectious disease of the upper respiratory tract that primarily affects the nose, throat, sinuses, and larynx."
Pneumonia,Consult a doctor if symptoms like high fever or cough persist.,if symptoms persist,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid or pus."
Dimorphic Hemmorhoids (piles),"Use hygiene, topical pain relievers, and consult a doctor if necessary.",if necessary,"Swollen veins in the lower part of the anus and rectum. When irritated, hemorrhoid veins may itch, burn, or bleed and cause painful swelling."
Heart Attack,Emergency medical attention required for suspected heart attack.,immediately,"Occurs when the flow of blood to the heart is blocked, often by a blood clot, causing damage to the heart muscle."
Varicose Veins,"Wear compression stockings, manage weight, and consult a doctor.",consult a doctor,"Enlarged, swollen, and twisting veins, often appearing blue or dark purple, usually occurring in the legs."
Hypothyroidism,"Manage diet, take prescribed medication, and regular thyroid function tests.",regular thyroid function tests,"A condition in which the thyroid gland doesn't produce enough thyroid hormone, leading to slowed metabolism."
Hyperthyroidism,"Manage stress, avoid excessive iodine, and consult a doctor.",consult a doctor,"The overproduction of a hormone by the thyroid, speeding up the body's metabolism significantly, causing rapid weight loss and a rapid or irregular heartbeat."
Hypoglycemia,"Eat regularly, monitor blood sugar levels, and seek immediate help if needed.",immediately if needed,"Low blood sugar, a condition that can occur in people with diabetes who take certain medications to raise their insulin levels."
Osteoarthritis,"Use joint protection techniques, pain relief, and consult a doctor.",consult a doctor,A degenerative joint disease causing cartilage in the joints to wear down over time.
Arthritis,"Manage diet, exercise, and use anti-inflammatory medications.",use medications,"Inflammation of one or more joints, causing pain and stiffness that can worsen with age."
Vertigo,Sit or lie down if feeling dizzy and consult a doctor if symptoms persist.,if symptoms persist,"A sensation of feeling off balance, often caused by inner ear problems."
Acne,"Use cleansers, avoid skin irritants, and consult a dermatologist.",consult a dermatologist,"A skin condition that occurs when hair follicles plug with oil and dead skin cells, causing whiteheads, blackheads, or pimples."
Urinary Tract Infection,"Stay hydrated, maintain hygiene, and consult a doctor for persistent symptoms.",for persistent symptoms,"An infection in any part of the urinary system, kidneys, bladder, or urethra."
Psoriasis,"Use moisturizers, avoid irritants, and consult a dermatologist.",consult a dermatologist,"A skin disease that causes red, itchy scaly patches, most commonly on the knees, elbows, trunk, and scalp."
Impetigo,"Maintain hygiene, use antibiotics if prescribed, and consult a doctor.",consult a doctor,"A highly contagious skin infection that causes red sores on the face, especially around a child's nose and mouth, and on hands and feet."
Flu,"Stay hydrated, rest, and take over-the-counter fever reducers.",if symptoms persist more than 5 days or worsen.,Influenza (Flu) is a respiratory illness caused by influenza viruses.
Coronavirus,"Isolate, monitor symptoms, seek medical attention if symptoms worsen.","Yes, especially if experiencing difficulty breathing or high fever.",COVID-19 is caused by the SARS-CoV-2 virus and can lead to severe respiratory illness.
